SIGLA,CEP,CIDADE,CNPJ,COD OBRA,ENDEREÇO,FONE,INSCR. ESTAD,KM IDA E VOLTA,L.,Ordens de Serviço,PEDÁGIO IDA E VOLTA,UF
174 - SJBARR - São Joaquim da Barra,14.600-000,São Joaquim da Barra,56.642.960/0176-90,123627,"Rua São Paulo, 1.270 - Centro",(016) 3811-2100,642.101.868.111,,174,,,"SP "
229 - MIRASS - Mirassol,15.130-065,Mirassol,56.642.960/0231-50,463970,"Praça Dr. Anísio José Moreira, 20-69 – Centro",(017) 3242-8779,451.067.579.114,,229,,,"SP "
143 - CABJAC - Cabreúva,13.318-000,Cabreúva,56.642.960/0145-93,133611,"Av. São Paulo, 626 - Jacaré",(011) 4529-6133,233.076.300.119,,143,,,"SP "
156 - ITUPVA - Itupeva,13.295-000,Itupeva,56.642.960/0157-27,118357,"Rua Jundiaí, 70 - Centro",(011) 4496-5213,388.076.650.115,260,156,ITUPEVA (https://www.notion.so/eceffdf1915342cca8fced47559d2555?pvs=21),"R$ 62,60","SP "
085 - RIBPRE - Ribeirão Preto,14.015-040,Ribeirão Preto,56.642.960/0088-60,135661,"Rua: São Sebastião, 175 - Centro",(016) 3610-9700,582.480.229.115,330,85,RIBEIRÃO PRETO CT (https://www.notion.so/cb553dc6bd9d4c7d97a569175d28ace3?pvs=21),"R$ 80,62","SP "
010 - STABAR - Sta. Bárb. D'Oeste,13.450-026,Sta. Bárb. D'Oeste,56.642.960/0012-62,94777,"Rua: General Osório, 518 - Centro",(019) 3455-1777,606.023.860.110,,10,,,"SP "
047 - BARRET - Barretos,14.780-660,Barretos,56.642.960/0050-98,89225,"Rua: 20, 762 – Primavera",(017) 3322-1033,204.072.675.113,500,47,BARRETOS (https://www.notion.so/a06186e306324788a29e496415de1e57?pvs=21),"R$ 131,60","SP "
175 - NHORIZ - Novo Horizonte,14.960-000,Novo Horizonte,56.642.960/0175-09,122743,"Rua Trajano Machado, 653 - Centro",(017) 3542-3599,483.107.274.118,468,175,NOVO HORIZONTE (https://www.notion.so/3a5f095cfd2f4f07bb5a2587f42b985e?pvs=21),"R$ 89,60","SP "
170 - INDSOL - Indaiatuba,13.345-360,Indaiatuba,56.642.960/0172-66,88534,"Av. Francisco de Paula Leite, 1.144 - Santa Cruz",(019) 3875-8796,353.253.884.116,,170,,,"SP "
134 - CAIEIR - Caieiras,07.700-170,Caieiras,56.642.960/0135-11,89223,"Av. 14 de Dezembro, 21 – Região Central",(011) 4442-1515,239.077.780.118,,134,,,"SP "
028 - GUARUL - Guarulhos,07.011-010,Guarulhos,56.642.960/0031-25,123562,"Rua: Capitão Gabriel, 148 - Centro",C,336.241.029.117,380,28,GUARULHOS (https://www.notion.so/113803739c464286a83a7f0c70fa242a?pvs=21),"R$ 87,40","SP "
088 - BPIRAÍ - Barra do Piraí,27.123-040,Barra do Piraí,56.642.960/0091-66,133602,"Trav.: Carmine Martuscello, 30 - Centro",(024) 2443-2627,76.020.604,,88,,,RJ
289 - LIMJOA - Limeira,13.480-743,Limeira,56.642.960/0291-91,783992,"Aenida Piracicaba, 731 - Vila Sao Joao",(019) 3443-3139,417.662.185.117,80,289,LIMEIRA BR (https://www.notion.so/cf1a726382514c0cb092f0b7e80ff127?pvs=21),"R$ 16,40","SP "
