SIGLA,CEP,CIDADE,CNPJ,COD OBRA,ENDEREÇO,FONE,INSCR. ESTAD,KM IDA E VOLTA,L.,Ordens de Serviço,PEDÁGIO IDA E VOLTA,UF
048 - JABOT - Jaboticabal,14.870-300,Jaboticabal,56.642.960/0051-79,133654,"Rua: Rui Barbosa, 700 - Centro",(016) 3202-0438,391.035.835.118,350,48,JABOTICABAL (https://www.notion.so/694966c2202b4162843e4f8f374104c3?pvs=21),"R$ 72,60","SP "
179 - CAMBUÍ - Cambuí,37.600-000,Cambuí,56.642.960/0182-38,133623,"Av. Do Carmo, 541 - Centro",(035) 3431-3260,525.649.701.1547,470,179,CAMBUI (https://www.notion.so/1da3f011ac63440bb18aba11dbf80765?pvs=21),"R$ 97,20",MG
101 - NILOP - Nilópolis,26.520-335,Nilópolis,56.642.960/0006-14,135657,"Estr.: Mirandela, 280 - Centro",(021) 2792-1649,76.192.545,,101,,,RJ
039 - SCARLO - São Carlos,13.560-010,São Carlos,56.642.960/0042-88,87759,"Av.: São Carlos, 1047 - Centro",(016) 3372-7213,637.091.830.110,,39,,,"SP "
038 - VOTOR - Votorantim,18.110-005,Votorantim,56.642.960/0041-05,20696,"Av.: 31 de Março, 588 - Centro",(015) 3243-1258,717.025.220.116,,38,,,"SP "
126 - ANGRAR - Angra dos Reis,23.900-000,Angra dos Reis,56.642.960/0129-73,133577,"Av.: Raul Pompéia, 100 - Centro",(024) 3365-7007,77.598.510,1030,126,ANGRA REIS CT (https://www.notion.so/f83e6ace236b4360b9d28a429b8d21c9?pvs=21),"R$ 170,60",RJ
073 - CARAGA - Caraguatatuba,11.660-020,Caraguatatuba,56.642.960/0077-08,87299,"Rua: Altino Arantes, 630 - Centro",(012) 3882-6007,254.049.756.115,,73,,,"SP "
091 - RESEND - Resende,27.542-210,Resende,56.642.960/0094-09,103483,"Rua: Nilo Peçanha, 60 - Centro",(024) 3354-4214,86.316.838,830,91,RESENDE CT (https://www.notion.so/03342d64660a474cad38c141af3221fa?pvs=21),"R$ 170,60",RJ
267 - CORNEP - Cornélio Procópio,86.300-000,Cornélio Procópio,56.642.960/0268-42,665075,"Av. XV de Novembro, 633 – Centro",(043) 3132-0100,90.799.214-48,,267,,,PR
083 - LAVRAS - Lavras,37.200-000,Lavras,56.642.960/0086-07,124536,"Rua: Dr. Francisco Sales, 520 - Centro",(035) 3821-5504,382.649.701.0570,,83,,,MG
262 - ASSIS - Assis,18.800-002,Assis,56.642.960.0297-87,787581,"Avenida Rui Barbosa, 525 - Centro",,189.292.318.119,,262,,,"SP "
054 - REGISTR - Registro,11.900-000,Registro,56.642.960/0058-45,87757,"Av.: Pref. Jonas B. Leite, 685 - Centro",(013) 3821-1149,574.026.842.110,,54,REGISTRO (https://www.notion.so/60f4a08b04d0494d92fee20f6da2766e?pvs=21),,"SP "
236 - ARACSE - Araçoiaba da Serra,18.190-000,Araçoiaba da Serra,56.642.960/0239-08,407913,"Rua Professor Toledo, 22 – Centro",(015) 3281-5227,178.027.343.118,,236,,,"SP "
